row_type,service,tool,phase,bug_id,description,category,category_group,severity,severity_band,reported_severity_source,reported_severity_band,reported_severity,found_by_chaosarena,found_by_claude_code,found_by_autoresttest,source_ref,occurrences,notes,raw_reported_bugs,confirmed_unique_bugs,required_unique_bugs,exploration_unique_bugs,concurrency_unique_bugs,critical_high_bugs,cost_usd,bugs_per_dollar,verdict_agent_cost_usd,verdict_drafter_cost_usd,verdict_total_cost_usd,verdict_bugs_per_dollar,verdict_started_at_utc,verdict_finished_at_utc,verdict_duration_seconds,verdict_duration_minutes,duration_seconds,duration_minutes,turns,tool_calls,input_tokens,output_tokens,cache_creation_input_tokens,cache_read_input_tokens,total_tokens,pricing_version,total_requests_sent,status_200,status_201,status_204,status_400,status_404,status_405,status_406,status_415,status_500,total_operations,successful_operations,successful_operations_pct,unique_server_errors,operations_with_server_errors,source_file
bug,market,ChaosArena,required,B01,Concurrent addItem same product: lost quantity update (qty stays 1 instead of 2),Concurrency,Concurrency,HIGH,high,impact_reclassified,high,HIGH,TRUE,FALSE,FALSE,CA:R1,2,Exploratory #1 is a dup of R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,required,B02,Concurrent pay+addItem: stale cart not cleared after payment (race-added item persists),Concurrency,Concurrency,HIGH,high,impact_reclassified,high,HIGH,TRUE,FALSE,FALSE,CA:R3,6,Exploratory #5/#12/#17/#21/#25 are dups of R3 (5 identical entries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,required,B03,Concurrent clearCart+pay: Hibernate StaleStateException surfaces as 500,Concurrency,Concurrency,HIGH,high,impact_reclassified,high,HIGH,TRUE,FALSE,FALSE,CA:R4,2,Exploratory #7 is a dup of R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,required,B04,Concurrent duplicate registration: both requests return 500 NonUniqueResultException,Concurrency,Concurrency,HIGH,high,impact_reclassified,high,HIGH,TRUE,FALSE,FALSE,CA:R5,2,Exploratory #6 is a dup of R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena+Claude Code,required,B05,IDOR: Any authenticated user can read any order by guessing orderId,Auth/IDOR,Auth / IDOR / Security,CRITICAL,critical,impact_reclassified,critical,CRITICAL,TRUE,TRUE,FALSE,"CA:R13, Exploratory #4/#11/#16/#20/#24/#29/#33; CC:BUG-2",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena+Claude Code,required,B06,IDOR on payment: name query-param ignored — server returns 406 for any user's cart,Auth/IDOR,Auth / IDOR / Security,MEDIUM,medium,impact_reclassified,medium,MEDIUM,TRUE,TRUE,FALSE,"CA:R12, Exploratory #3/#10/#15/#19/#23; CC:BUG-3",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena+Claude Code,required,B07,Unauthenticated POST /customer/cart/pay returns 406 instead of 401,Auth,Auth / IDOR / Security,MEDIUM,medium,impact_reclassified,medium,MEDIUM,TRUE,TRUE,FALSE,"CA:R14, Exploratory #2/#9/#13/#14/#18/#22/#26; CC:BUG-1",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,exploration,B08,deliveryIncluded=false does not reduce cart totalCost displayed to user,Business Logic,Business Logic,MEDIUM,medium,impact_reclassified,medium,MEDIUM,TRUE,FALSE,FALSE,CA:Exploratory #30/#31/#32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,exploration,B09,Unavailable product (available=false) silently not added to cart — no error returned,Business Logic,Business Logic,MEDIUM,medium,impact_reclassified,medium,MEDIUM,TRUE,FALSE,FALSE,CA:Exploratory #27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,exploration,B10,No upper-bound validation on cart item quantity (accepts 999999),Input Validation,Input Validation,HIGH,high,impact_reclassified,high,HIGH,TRUE,FALSE,FALSE,CA:Exploratory #28/#34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena+Claude Code,required,B11,All input validation errors return 406 Not Acceptable instead of 400 Bad Request,HTTP Semantics,HTTP Semantics,MEDIUM,medium,impact_reclassified,medium,MEDIUM,TRUE,TRUE,FALSE,CA:R16/R17/R18/R22/R23; CC:BUG-4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,required,B12,setDelivery endpoint: missing required 'included' param returns 500 instead of 400,HTTP Semantics,HTTP Semantics,HIGH,high,impact_reclassified,high,HIGH,TRUE,FALSE,FALSE,CA:R25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,exploration,B13,GET /products/{non-numeric-id}: type conversion failure returns 500 instead of 400,HTTP Semantics,HTTP Semantics,HIGH,high,impact_reclassified,high,HIGH,TRUE,FALSE,FALSE,CA:Exploratory #36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,required,B14,Empty cart payment returns 406 Not Acceptable instead of 400,HTTP Semantics,HTTP Semantics,MEDIUM,medium,impact_reclassified,medium,MEDIUM,TRUE,FALSE,FALSE,CA:R16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,required,B15,addItem with zero or negative quantity returns 406 instead of 400,HTTP Semantics,HTTP Semantics,MEDIUM,medium,impact_reclassified,medium,MEDIUM,TRUE,FALSE,FALSE,CA:R17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,required,B16,Invalid credit card number returns 406 instead of 400,HTTP Semantics,HTTP Semantics,MEDIUM,medium,impact_reclassified,medium,MEDIUM,TRUE,FALSE,FALSE,CA:R18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,required,B17,Oversize registration fields (>50 chars) return 406 instead of 400,HTTP Semantics,HTTP Semantics,MEDIUM,medium,impact_reclassified,medium,MEDIUM,TRUE,FALSE,FALSE,CA:R22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,required,B18,Contacts update with forbidden characters or invalid phone format returns 406 instead of 400,HTTP Semantics,HTTP Semantics,MEDIUM,medium,impact_reclassified,medium,MEDIUM,TRUE,FALSE,FALSE,CA:R23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,exploration,B19,Null byte character accepted and stored in address field,Input Validation,Input Validation,HIGH,high,impact_reclassified,high,HIGH,TRUE,FALSE,FALSE,CA:Exploratory #37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,exploration,B20,"Response shape inconsistency: GET /orders returns 'links' array only for paginated results, not for single-order fetch",API Design,Data Integrity / API Design,LOW,low,impact_reclassified,low,LOW,TRUE,FALSE,FALSE,CA:Exploratory #38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,Claude Code,single_phase,B21,POST /customer/register returns 406 for duplicate email instead of 409 Conflict,HTTP Semantics,HTTP Semantics,MEDIUM,medium,impact_reclassified,medium,MEDIUM,FALSE,TRUE,FALSE,CC:BUG-5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,Claude Code,single_phase,B22,GET /products returns empty array [] with 200 when no products exist instead of 404,HTTP Semantics,HTTP Semantics,LOW,low,impact_reclassified,low,LOW,FALSE,TRUE,FALSE,CC:BUG-6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,Claude Code,single_phase,B23,DELETE /customer/cart/{cartId} returns 200 on non-existent cart instead of 404,HTTP Semantics,HTTP Semantics,LOW,low,impact_reclassified,low,LOW,FALSE,TRUE,FALSE,CC:BUG-7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,ChaosArena,required,T01,Concurrent POST duplicate assignment returns 400+SQL constraint leak,Concurrency,Concurrency,HIGH,high,impact_reclassified,high,HIGH,TRUE,FALSE,FALSE,CA:R1,2,Exploratory #1 is a dup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,ChaosArena,required,T02,Concurrent DELETE same assignment returns 400+Hibernate StaleStateException,Concurrency,Concurrency,HIGH,high,impact_reclassified,high,HIGH,TRUE,FALSE,FALSE,CA:R2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,ChaosArena,required,T03,Concurrent PUT same assignment: endpoint does INSERT not UPDATE causing PK conflict,Concurrency,Concurrency,HIGH,high,impact_reclassified,high,HIGH,TRUE,FALSE,FALSE,CA:R4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,ChaosArena+Claude Code,required,T04,All API endpoints accessible without authentication — no auth enforcement,Auth,Auth / IDOR / Security,CRITICAL,critical,impact_reclassified,critical,CRITICAL,TRUE,TRUE,FALSE,CA:R5/R6/R7/R8/R9/R10/R11; CC:BUG-1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,ChaosArena+Claude Code,required,T05,IDOR: assignment data (salary + credential hash) readable by any caller,Auth/IDOR,Auth / IDOR / Security,CRITICAL,critical,impact_reclassified,critical,CRITICAL,TRUE,TRUE,FALSE,"CA:R5, Exploratory #1/#3/#5/#7/#10; CC:BUG-2",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,ChaosArena+Claude Code,required,T06,IDOR: employee profile including salary accessible without authorization,Auth/IDOR,Auth / IDOR / Security,CRITICAL,critical,impact_reclassified,critical,CRITICAL,TRUE,TRUE,FALSE,"CA:R6, Exploratory #2/#4/#6/#8/#11; CC:BUG-3",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,ChaosArena+Claude Code,required,T07,Credential store returns all password hashes and roles without authorization,Auth/IDOR,Auth / IDOR / Security,CRITICAL,critical,impact_reclassified,critical,CRITICAL,TRUE,TRUE,FALSE,"CA:R8, Exploratory #9; CC:BUG-4",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,ChaosArena,required,T08,IDOR: manager-project-data accessible for any employee without role check,Auth/IDOR,Auth / IDOR / Security,CRITICAL,critical,impact_reclassified,critical,CRITICAL,TRUE,FALSE,FALSE,"CA:R10, Exploratory #12",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,ChaosArena+Claude Code,required,T09,Role escalation via unauthenticated PUT /api/credentials/update,Auth,Auth / IDOR / Security,CRITICAL,critical,impact_reclassified,critical,CRITICAL,TRUE,TRUE,FALSE,"CA:R9, Exploratory #15; CC:BUG-5",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,ChaosArena,exploration,T10,POST /api/credentials/save stores password in plaintext (PUT hashes it),Auth/Security,Auth / IDOR / Security,CRITICAL,critical,impact_reclassified,critical,CRITICAL,TRUE,FALSE,FALSE,CA:Exploratory #17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,ChaosArena+Claude Code,required,T11,No auth enforcement on project mutation endpoints — unauthenticated CRUD,Auth,Auth / IDOR / Security,CRITICAL,critical,impact_reclassified,critical,CRITICAL,TRUE,TRUE,FALSE,"CA:R7, Exploratory #13/#16; CC:BUG-6",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,ChaosArena,exploration,T12,commitMgrDesc field (manager-only annotation) writable by any caller,Auth,Auth / IDOR / Security,HIGH,high,impact_reclassified,high,HIGH,TRUE,FALSE,FALSE,CA:Exploratory #14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,ChaosArena,exploration,T13,Assignment GET response embeds full employee+credential graph including password hashes,Auth/IDOR,Auth / IDOR / Security,CRITICAL,critical,impact_reclassified,critical,CRITICAL,TRUE,FALSE,FALSE,CA:Exploratory #20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,Claude Code,single_phase,T14,PUT /api/employees/{id} allows setting salary to negative values,Input Validation,Input Validation,MEDIUM,medium,impact_reclassified,medium,MEDIUM,FALSE,TRUE,FALSE,CC:BUG-7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,Claude Code,single_phase,T15,POST /api/employees allows duplicate employee with same name/email,Business Logic,Business Logic,MEDIUM,medium,impact_reclassified,medium,MEDIUM,FALSE,TRUE,FALSE,CC:BUG-8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,ChaosArena+Claude Code,exploration,T16,GET /api/assignments/{empId}/{projId} completely broken — returns wrong assignment,HTTP Semantics,HTTP Semantics,HIGH,high,impact_reclassified,high,HIGH,TRUE,TRUE,FALSE,CA:Exploratory #21; CC:BUG-9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,Claude Code,single_phase,T17,DELETE /api/assignments/{id} returns 200 on non-existent ID instead of 404,HTTP Semantics,HTTP Semantics,LOW,low,impact_reclassified,low,LOW,FALSE,TRUE,FALSE,CC:BUG-10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,ChaosArena,required,T18,Project endDate before startDate accepted without validation,Input Validation,Input Validation,MEDIUM,medium,impact_reclassified,medium,MEDIUM,TRUE,FALSE,FALSE,CA:R15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,ChaosArena,required,T19,Arbitrary or undefined role value in Credential body accepted without validation,Input Validation,Input Validation,MEDIUM,medium,impact_reclassified,medium,MEDIUM,TRUE,FALSE,FALSE,CA:R16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,Claude Code,single_phase,T20,PUT /api/projects/{id} returns 200 on non-existent project instead of 404,HTTP Semantics,HTTP Semantics,LOW,low,impact_reclassified,low,LOW,FALSE,TRUE,FALSE,CC:BUG-11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,ChaosArena+Claude Code,exploration,T21,PUT on non-existent resource ID creates new record instead of returning 404,HTTP Semantics,HTTP Semantics,MEDIUM,medium,impact_reclassified,medium,MEDIUM,TRUE,TRUE,FALSE,CA:Exploratory #18; CC:BUG-12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,Claude Code,single_phase,T22,GET /api/employees returns 200 with empty list instead of 404 when none exist,HTTP Semantics,HTTP Semantics,LOW,low,impact_reclassified,low,LOW,FALSE,TRUE,FALSE,CC:BUG-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,Claude Code,single_phase,T23,POST /api/assignments/save with missing required fields returns 500 instead of 400,HTTP Semantics,HTTP Semantics,HIGH,high,impact_reclassified,high,HIGH,FALSE,TRUE,FALSE,CC:BUG-14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,Claude Code,single_phase,T24,POST /api/employees with empty body returns 500 instead of 400,HTTP Semantics,HTTP Semantics,HIGH,high,impact_reclassified,high,HIGH,FALSE,TRUE,FALSE,CC:BUG-15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,tracking,ChaosArena+Claude Code,required,T25,Server-side DB error misclassified as 400 Bad Request with Hibernate exception trace,HTTP Semantics,HTTP Semantics,HIGH,high,impact_reclassified,high,HIGH,TRUE,TRUE,FALSE,CA:R1/R2/R4; CC:BUG-16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
